keys,en,zh_CN,ja,zh_TW
languages,Locale,语言,言語,語言
about,About,关于,約,關於
drill,Control,参数,ドコントロール,參數
random_sequence,"Random Sequence
",随机序列,ランダムシーケンス,隨機序列

fixed_sequence,Fixed Sequence,固定序列,固定シーケンス,固定序列
description,"The Grwolf Smart Target is designed for shooting enthusiasts who want a convenient solution for practicing with airsoft. Compared to the traditional target, the device has the following features, 
* Real-time hit point display allows you to track and score your shots instantly.
* Choose different controls with the same device, such as bill control and free shooting, to enhance your shooting experience.","Grwolf 智能靶专为希望便捷练习软气枪的射击爱好者设计。与传统靶相比，该设备具有以下特点：
* 实时命中点显示，让您可以即时追踪射击并计分。
* 同一设备可选择不同的练习方式，例如枪枝练习和自由射击，提升您的射击体验。","Grwolfスマートターゲットは、エアソフトガンの練習に便利なソリューションを求める射撃愛好家のために設計されており。従来のターゲットと比較して、このデバイスは以下の機能を備えています。
* リアルタイムのヒットポイント表示により、射撃の追跡とスコアリングが瞬時に行えます。
* ビルドリルやフリーシューティングなど、同じデバイスで様々なドリルを選択できるため、射撃体験が向上します。","Grwolf 智能靶專為希望便捷練習軟氣槍的射擊愛好者設計。與傳統靶相比，該設備具有以下特點：
* 即時命中點顯示，讓您可以即時追蹤射擊併計分。
* 同一裝置可選擇不同的練習方式，例如槍枝練習和自由射擊，提升您的射擊體驗。 "
copyright,© 2025 FlexTarget IPSC@Grwolf.com,© 2025 FlexTarget IPSC@Grwolf.com,© 2025 FlexTarget IPSC@Grwolf.com,2025 FlexTarget IPSC@Grwolf.com
ipsc,IPSC Drill,IPSC场景,IPSCステージ,IPSC場景
idpa,IDPA Drill,IDPA场景,IDPAステージ,IDPA場景
stage,Mini Stage,迷你场景,ミニステージ,迷你场景
standard_stage,Standard Stage,标准阶段,スタンダードステージ,標準階段
stage_mini,Stage Mini,迷你阶段,ステージミニ,迷你階段
stage_white,Stage White,白色阶段,ホワイトステージ,白色階段
back_to_main,Back to Main Menu,返回主菜单,メインメニューに戻る,返回主選單
network,Netlink Drill,多靶训练,マルチターゲットドリル,多靶訓練
drills,My Drills,我的练习,カスタムドリル,客製訓練
boot_camp,Boot Camp,自由射击,フリーシュート,自由射擊
leaderboard,Leaderboard,排行榜,リーダーボード,排行榜
ipsc_leaderboard,Leaderboard(IPSC),排行榜(IPSC),リーダーボード(IPSC),排行榜(IPSC)
idpa_leaderboard,Leaderboard(IDPA),排行榜(IDPA),リーダーボード(IDPA),排行榜(IDPA)
games,Casual Games,休闲游戏,カジュアルゲーム,休閒遊戲
fruitcatcher,Fruit Ninja,水果忍者,フルーツ忍者,水果忍者
monkey_duel,Monkey Duel,猴子对决,モンキーデュエル,猴子對決
mole_attack,Mole Attack,鼹鼠攻击,モグラアタック,鼴鼠攻擊
tictactoe,TicTacToe,井字游戏,三目並べ,井字遊戲
shoot_painter,Shoot Painter,射击画师,シュートペインター,射擊畫師
options,Options,选项,オプション,選項
prev,Prev,上页,上页,上頁
next,Next,下页,ページ,下頁
start,Start,启动,启アニメーション,啟動
difficulty_level,Difficulty Level,难度等级,難易度レベル,難度等級
duration,Duration,时长,期間,時長
difficulty_easy,Easy,简单,イージー,簡單
difficulty_medium,Medium,中等,ミディアム,中等
difficulty_hard,Hard,困难,ハード,困難
play_mode_ai,AI,AI,AI,AI
play_mode_human,Human,人类,人間,人類
Easy,Easy,简单,イージー,簡單
Medium,Medium,中等,ミディアム,中等
Hard,Hard,困难,ハード,困難
Impossible,Impossible,不可能,インポッシブル,不可能
low,Low,低,低,低
medium,Medium,中,中,中
high,High,高,高,高
20_seconds,20s,20秒,20秒,20秒
30_seconds,30s,30秒,30秒,30秒
60_seconds,60s,60秒,60秒,60秒
90_seconds,90s,90秒,90秒,90秒
loading,Loading,加载中,ロード中,載入中
rules,IPSC Rules,IPSC训练规则,IPSC接続,IPSC訓練規則
target,Target,标靶,标靶,標靶
complete,Drill Completed,训练结束,训练结束,訓練結束
score,Score,得分,得分,得分
hit_factor,Hit Factor,射击系数,射击系数,射擊係數
fastest_shot,Fastest Interval,最快击发,最新の投稿,最快擊發
restart,Restart,再来一局,再来一局,再來一局
replay,Replay & Review,回放检查,再放检查,回放檢查
clear,Clear Shots,清屏,清屏,清螢幕
leaderboard,Leaderboard,排行榜,排行トレンド,排行榜
no,No.,序号,序号,序號
your_score,Your Score:,你的分数：,あなたのスコア：,你的分數：
time,Time,时长,時間長,時長

custom_target_instruction,Please use the mobile App to send your own target image.,请使用手机应用上传自定义靶图像。,モバイルアプリを使用して独自のターゲット画像を送信してください。,請使用手機應用上傳自訂靶圖像。

custom_target_status_waiting,Waiting for image...,正在等待图像...,画像を待っています...,正在等待圖像...
custom_target_status_ready,Ready to receive image,准备接收图像,画像の受信準備ができました,準備接收圖像
custom_target_status_receiving_total,Receiving image (%d chunks)...,接收图像（%d 块）...,画像を受信中（%d チャンク）...,接收圖像（%d 塊）...
custom_target_status_receiving_progress,Receiving image (%d/%d chunks)...,接收图像（%d/%d 块）...,画像を受信中（%d/%d チャンク）...,接收圖像（%d/%d 塊）...
custom_target_status_transfer_complete,Transfer complete: %d/%d chunks received,传输完成：已接收 %d/%d 块,転送完了：%d/%d チャンク受信,傳輸完成：已接收 %d/%d 塊
custom_target_status_error_decode_chunk,Error: Failed to decode chunk %d,错误：无法解码块 %d,エラー：チャンク %d のデコードに失敗しました,錯誤：無法解碼區塊 %d
custom_target_status_error_missing_chunk,Error: Missing chunk during reconstruction,错误：重建时缺少块,エラー：再構築中にチャンクが欠落しています,錯誤：重建時缺少區塊
custom_target_status_error_base64_null,Error: Failed to decode base64 (null),错误：base64 解码失败（空）,エラー：base64 のデコードに失敗しました（null）,錯誤：base64 解碼失敗（空）
custom_target_status_error_decode_image,Error: Failed to decode image,错误：图像解码失败,エラー：画像のデコードに失敗しました,錯誤：圖像解碼失敗
